variable,distribution,lower,median,upper,label,
weight_learning_material_to_interest,tnorm_0_1,0.5,,0.7,percent importance of having good learning material to interest in learning (%),here interest can be merely enjoy learning
weight_learning_material_to_motivation_inter_one,tnorm_0_1,0.5,,0.8,percent importance of having good learning material to motivation in learning for intervention 1 (%),here motivation can be expressed as interest in learning with intention to apply or with expectation for benefits
weight_learning_material_to_motivation_inter_two,tnorm_0_1,0.2,,0.4,percent importance of having good learning material to motivation in learning for intervention 2 (%),
,,,,,,
chance_of_good_trainer,tnorm_0_1,0.7,,0.95,chance of having a good trainer (%),
weight_good_trainer_to_interest,tnorm_0_1,0.7,,0.9,percent importance of having a good trainer in boosting athletes? interest  (%),
weight_good_trainer_to_motivation_inter_one,tnorm_0_1,0.7,,0.9,percent importance of having a good trainer in boosting athletes? motivation for intervention one  (%),
weight_good_trainer_to_motivation_inter_two,tnorm_0_1,0.2,,0.5,percent importance of having a good trainer in boosting athletes? motivation for intervention two  (%),
weight_good_trainer_to_successful_ch1,tnorm_0_1,0.8,,0.95,percent importance of having a good trainer in athletes successfully learning chapter 1 (%),
weight_good_trainer_to_successful_ch2,tnorm_0_1,0.7,,0.9,percent importance of having a good trainer in athletes successfully learning chapter 2 (%),
weight_good_trainer_to_successful_ch3,tnorm_0_1,0.6,,0.8,percent importance of having a good trainer in athletes successfully learning chapter 3 (%),
weight_good_trainer_to_successful_ch4,tnorm_0_1,0.6,,0.8,percent importance of having a good trainer in athletes successfully learning chapter 4 (%),
,,,,,,
chance_of_good_facility,tnorm_0_1,0.8,,0.95,chance of having good facility in training avenue (%),
weight_good_facility_to_motivation,tnorm_0_1,0.2,,0.4,percent importance of having good facility to boost athletes? motivation (%),
,,,,,,
chance_athletes_understand_nutrition_importance,tnorm_0_1,0.7,,0.9,chance of athletes understanding the importance of nutrition in sports (%),
weight_understand_nutrition_importance_to_motivation,tnorm_0_1,0.7,,0.9,chance of athletes having motivation conditional on understanding importance of nutrition (%),
weight_understand_nutrition_importance_to_persistence,tnorm_0_1,0.7,,0.9,chance of athletes persistent in learning difficult material conditional on understanding importance of nutrition (%),
weight_understand_nutrition_importance_to_interest,tnorm_0_1,0.7,,0.9,chance of athletes maintaining interest conditional on understanding importance of nutrition (%),
weight_motivation_to_learning_success,tnorm_0_1,0.7,,0.9,percent importance of having motivation to successful learning outcome (%),
weight_persistence_to_learning_success,tnorm_0_1,0.7,,0.9,percent importance of persistence to successful learning outcome (%),
weight_interest_to_learning_success,tnorm_0_1,0.7,,0.9,percent importance of having interest to successful learning outcome (%),
weight_knowledge_to_learning_success,tnorm_0_1,0.7,,0.9,percent importance of having good knowledge to successful learning outcome (%),
,,,,,,
weight_understand_importance_to_maintain_good_nutrition_inter_one,tnorm_0_1,0.7,,0.9,percent importance of understanding the importance of nutrition to maintain good nutrition habits for intervention one (%),
weight_motivation_to_maintain_good_nutrition_inter_one,tnorm_0_1,0.7,,0.95,percent importance of having motivation to maintain good nutrition habits for intervention one (%),
weight_persistence_to_maintain_good_nutrition_inter_one,tnorm_0_1,0.7,,0.95,percent importance of persistence to maintain good nutrition habits for intervention one (%),
weight_interest_to_maintain_good_nutrition_inter_one,tnorm_0_1,0.5,,0.8,percent importance of having interest to maintain good nutrition habits for intervention one (%),
weight_learning_outcome_to_maintain_good_nutrition_inter_one,tnorm_0_1,0.8,,0.95,percent importance of good learning outcome to maintain good nutrition habits for intervention one (%),
,,,,,,
weight_understand_importance_to_maintain_good_nutrition_inter_two,tnorm_0_1,0.7,,0.9,percent importance of understanding the importance of nutrition to maintain good nutrition habits for intervention two (%),
weight_motivation_to_maintain_good_nutrition_inter_two,tnorm_0_1,0.5,,0.7,percent importance of having motivation to maintain good nutrition habits for intervention two (%),
weight_persistence_to_maintain_good_nutrition_inter_two,tnorm_0_1,0.3,,0.5,percent importance of persistence to maintain good nutrition habits for intervention two (%),
weight_interest_to_maintain_good_nutrition_inter_two,tnorm_0_1,0.3,,0.5,percent importance of having interest to maintain good nutrition habits for intervention two (%),
weight_learning_outcome_to_maintain_good_nutrition_inter_two,tnorm_0_1,0.7,,0.9,percent importance of good learning outcome to maintain good nutrition habits for intervention two (%),
,,,,,,
chance_good_nutritionist_inter_one,tnorm_0_1,0.8,,0.95,chance of having a good nutritionist for intervention one (%),
chance_good_nutrition_team_inter_two,tnorm_0_1,0.8,,0.95,chance of having a good nutrition team for intervention two (%),
weight_good_nutritionist_to_maintain_good_nutrition,tnorm_0_1,0.7,,0.9,percent importance of having a good nutritionist to maintain good nutrition in athletes (%),
weight_good_nutrition_team_to_maintain_good_nutrition,tnorm_0_1,0.7,,0.9,percent importance of having a good nutrition team to maintain good nutrition in athletes (%),
,,,,,,
chance_good_support,tnorm_0_1,0.8,,0.95,chance of having ongoing good support to maintain good nutrition in athletes (%),
weight_good_support_to_maintain_good_nutrition_inter_one,tnorm_0_1,0.7,,0.9,percent importance of having good support to maintain good nutrition for intervention one (%),
weight_good_support_to_maintain_good_nutrition_inter_two,tnorm_0_1,0.5,,0.7,percent importance of having good support to maintain good nutrition for intervention two (%),
,,,,,,
chance_good_kitchen_staff,tnorm_0_1,0.7,,0.9,chance of having good kitchen staff (%),
chance_regular_audit,tnorm_0_1,0.8,,0.95,chance of having regular food safety audits (%),
weight_good_kitchen_staff_to_good_food_safety,tnorm_0_1,0.7,,0.9,percent importance of having good kitchen staff to good food safety (%),
weight_regular_audit_to_good_food_safety,tnorm_0_1,0.8,,0.95,percent importance of having regular audits to good food safety (%),
chance_tasty_food_conditional_on_good_kitchen_staff,tnorm_0_1,0.8,,0.95,chance of providing delicious food conditional on having good kitchen staff (%),
weight_good_food_safety_to_maintain_good_nutrition,tnorm_0_1,0.7,,0.9,percent importance of good food safety to maintain good nutrition (%),
weight_tasty_food_to_maintain_good_nutrition,tnorm_0_1,0.7,,0.9,percent importance of providing delicious food to maintain good nutrition (%),
weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one,tnorm_0_1,0.5,,0.8,percent importance of having good kitchen staff to maintain good nutrition for intervention one (%),
weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two,tnorm_0_1,0.7,,0.9,percent importance of having good kitchen staff to maintain good nutrition for intervention two (%),
,,,,,,
chance_athletes_good_health,tnorm_0_1,0.7,,0.9,chance of athletes in good health (%), 
weight_good_health_to_maintain_good_nutrition,tnorm_0_1,0.7,,0.9,percent importance of being in good health to maintain good nutrition (%),
,,,,,,
chance_junk_food_temptation_conditional_on_maintain_good_nutrition_inter_one,tnorm_0_1,0.1,,0.2,chance of having junk food conditional on chance of maintaining good nutrition for intervention one (%),
chance_junk_food_temptation_conditional_on_maintain_good_nutrition_inter_two,tnorm_0_1,0.05,,0.15,chance of having junk food conditional on chance of maintaining good nutrition for intervention two (%),
weight_junk_food_temptation_on_main_meals,tnorm_0_1,0.1,,0.3,percent frequency of having junk food instead of provided meals (%),
weight_junk_food_temptation_on_snack_times,tnorm_0_1,0.05,,0.1,percent frequency of having junk food instead of provided snacks (%),
,,,,,,
total_main_meals_per_year_all_athletes,posnorm,800000,,1700000,total yearly number of main meals provided for all athletes,
total_snack_time_per_year_all_athletes,posnorm,150000,,510000,total yearly number of snacks provided for all athletes,
,,,,,,
chance_personal_problem,tnorm_0_1,0.1,,0.3,chance of having personal problems that can interfere with maintaing good nutrition habits (%),
percent_athlete_with_personal_problem,tnorm_0_1,0.1,,0.3,percent of athletes with potential personal problems (%),
weight_personal_problem_to_skipping_meals,tnorm_0_1,0.1,,0.2,percent frequency of skipping main meals due to personal problems (%),
weight_personal_problem_to_skipping_snacks,tnorm_0_1,0.05,,0.1,percent frequency of skipping snack times due to personal problems (%),
,,,,,,
chance_dietary_restriction_for_provided_food,tnorm_0_1,0.1,,0.25,chance of a particular food being in the restricted diets of athletes (%),
percent_athlete_with_dietary_restriction,tnorm_0_1,0.05,,0.1,percent of athletes with dietary restriction (%),
weight_dietary_restriction_on_main_meals,tnorm_0_1,0.2,,0.4,percent impact of dietary restriction on rejecting food provided in main meals (%),
weight_dietary_restriction_on_snacks,tnorm_0_1,0.05,,0.1,percent impact of dietary restriction on rejecting food provide as snacks (%),
number_athlete,posnorm,250,,500,total number of football players per year,
,,,,,,
chance_good_water_intake_current,tnorm_0_1,0.7,,0.9,chance of athletes having good water intake currently (%),
weight_current_good_water_intake_to_maintain_good_water_intake,tnorm_0_1,0.7,,0.9,percent importance of current good water intake to maintain good water intake (%),
weight_good_learning_outcome_to_maintain_good_water_intake,tnorm_0_1,0.7,,0.9,percent importance of good learning outcome to maintain good water intake (%),
weight_maintain_good_nutrition_to_maintain_good_water_intake,tnorm_0_1,0.8,,0.95,percent importance of maintaining good nutrition to maintain good water intake (%),
,,,,,,
chance_bad_rest_conditional_on_personal_problem,tnorm_0_1,0.5,,0.7,chance of not getting enough rest in athletes with personal problems (%),
chance_good_rest_in_athletes_without_personal_problem,tnorm_0_1,0.7,,0.9,chance of getting good rest in athletes without personal problems (%),
weight_maintain_good_nutrition_to_reduce_tiredness,tnorm_0_1,0.5,,0.7,percent importance of maintaining good nutrition to reduce the negative effects of bad rest (%),
weight_maintain_good_water_intake_to_reduce_tiredness,tnorm_0_1,0.5,,0.7,percent importance of maintaining good water intake to reduce the negative effects of bad rest (%),
